"Strain","maxProb","minProb","meanProb","medianProb","count"
"NIES-100",0.880831482069184,0.078405188859214,0.345833108072589,0.118670274449169,7
"CBT163",0.879496402877698,0.172007120605251,0.525751761741475,0.525751761741475,2
"DRTO?73",0.87781214848144,0.826232394366197,0.855427350633016,0.862237509051412,3
"TAU IL-40",0.875891121192482,0.157429048414023,0.397017376123131,0.157731958762886,3
"KAC 66",0.869555843035791,0.131315240083507,0.379189693555772,0.136697997548018,3
"CCNP 1411 (GenBank accession number KJ161445)",0.868326822916667,0.117145899893503,0.20292477695608,0.153874269005848,14
"CCY941",0.868075117370892,0.818866253321524,0.85083194528478,0.865554465161924,3
"[Brasilonema octagenarum]CCIBt 3551",0.855029585798816,0.855029585798816,0.855029585798816,0.855029585798816,1
"[Calothrix sp.]CCIBt 3289",0.855029585798816,0.855029585798816,0.855029585798816,0.855029585798816,1
"[Leptolyngbya sp.]CCIBt 3626",0.855029585798816,0.855029585798816,0.855029585798816,0.855029585798816,1
"[Scytonema sp.]CCIBt 3464",0.855029585798816,0.855029585798816,0.855029585798816,0.855029585798816,1
"[Tolypothrix sp.]LTPNA DBG 92",0.855029585798816,0.855029585798816,0.855029585798816,0.855029585798816,1
"CENA386",0.853164556962025,0.144460028050491,0.459895069862172,0.160424187725632,9
"TAU IL-347",0.849697885196375,0.172863099374566,0.354590762540164,0.197901032794858,4
"CCNP 1401",0.848827470686767,0.232174688057041,0.692768037062348,0.796221864951768,5
"CCNP 1403",0.848827470686767,0.232174688057041,0.692768037062348,0.796221864951768,5
"CCNP1423",0.84735269000854,0.112168874172186,0.479760782090363,0.479760782090363,2
"CCNP1424",0.84735269000854,0.112168874172186,0.479760782090363,0.479760782090363,2
"CCNP1425",0.84735269000854,0.112168874172186,0.479760782090363,0.479760782090363,2
"CCNP1428",0.84735269000854,0.112168874172186,0.479760782090363,0.479760782090363,2
"CCNP1431",0.84735269000854,0.112168874172186,0.601576082812514,0.845206684256816,3
"CCNP1440",0.84735269000854,0.112168874172186,0.601576082812514,0.845206684256816,3
"KAC64",0.84735269000854,0.112168874172186,0.601576082812514,0.845206684256816,3
"KAC66",0.84735269000854,0.112168874172186,0.601576082812514,0.845206684256816,3
"KAC68",0.84735269000854,0.845206684256816,0.846279687132678,0.846279687132678,2
"TAU IL-237 and IL-23",0.845446455057846,0.161659726353361,0.392975463934434,0.171820210392094,3
"UIC 10339",0.845139743364387,0.845139743364387,0.845139743364387,0.845139743364387,1
"M2285",0.843328335832084,0.143430559272143,0.32660457116653,0.159829694780946,4
"TAC 954",0.843328335832084,0.143430559272143,0.32660457116653,0.159829694780946,4
"NO-15-1840",0.84222805482648,0.84222805482648,0.84222805482648,0.84222805482648,1
"UTEX LB2386",0.839962709757613,0.839962709757613,0.839962709757613,0.839962709757613,1
"CAVN 10",0.834990059642147,0.681486880466472,0.745997342853056,0.747848537005164,11
"TAU  IL-235",0.833657209483094,0.833657209483094,0.833657209483094,0.833657209483094,1
"Bio33",0.828385772913816,0.754949890002445,0.79092660101048,0.79018537056283,4
"PNG-12/15/03-5",0.827106097990836,0.827106097990836,0.827106097990836,0.827106097990836,1
"DUN901",0.825549450549451,0.825354856665739,0.825452153607595,0.825452153607595,2
"NIVA Cya 43",0.824063564131668,0.824063564131668,0.824063564131668,0.824063564131668,1
"FL31-01",0.820440573770492,0.200532284193474,0.546830154004292,0.770554202192448,7
"TAU  IL-428",0.820143884892087,0.820143884892087,0.820143884892087,0.820143884892087,1
"NIES-835",0.81692573402418,0.81692573402418,0.81692573402418,0.81692573402418,1
"R76DM",0.81437125748503,0.81437125748503,0.81437125748503,0.81437125748503,1
"SC0581",0.812271619975639,0.791015625,0.802814992721274,0.803986362954729,4
"SYKE 748A",0.811969214437368,0.811969214437368,0.811969214437368,0.811969214437368,1
"UK2aImI",0.805047867711053,0.79964953271028,0.801881130097749,0.801413559984832,4
"TAU IL-33",0.80253752680486,0.168238993710692,0.383681705185625,0.180268595041322,3
"KU002",0.799546142208775,0.782327586206897,0.790936864207836,0.790936864207836,2
"NIVA-CYA 172/5",0.79815668202765,0.79815668202765,0.79815668202765,0.79815668202765,1
"37",0.795958083832335,0.795777466479888,0.795867775156112,0.795867775156112,2
"XPORK13A",0.794155844155844,0.680445722501797,0.719003213879872,0.682408074981976,3
"1TU39S8",0.793517844136926,0.793517844136926,0.793517844136926,0.793517844136926,1
"SYKE748A",0.793513853904282,0.204806235115826,0.73992119814515,0.783180987202925,15
"NIES-205",0.792867701404287,0.0455081001472755,0.263525628203034,0.156736813336977,5
"NIES-596",0.792867701404287,0.126415628539072,0.376085633644303,0.208973570989551,3
"CU 2555",0.79126213592233,0.79126213592233,0.79126213592233,0.79126213592233,1
"SYKE816",0.787264318747777,0.787264318747777,0.787264318747777,0.787264318747777,1
"ITEP-024",0.787021630615641,0.240055826936497,0.640433464332146,0.767328199888223,8
"UIC 10035",0.783504138746551,0.766598360655737,0.772915532747947,0.773800157356412,7
"C24/89",0.782579787234043,0.776356761565836,0.779468274399939,0.779468274399939,2
"90",0.781669865642994,0.1,0.440834932821497,0.440834932821497,2
"UTEX 1613",0.774699068816716,0.768485523385301,0.77193636658571,0.772280437070411,4
"PH256",0.773749426342359,0.224923162894664,0.499336294618511,0.499336294618511,2
"[Komarekiella atlantica]CCIBt 3307",0.773722627737226,0.773722627737226,0.773722627737226,0.773722627737226,1
"[Nodularia spumigena]CENA 596",0.773722627737226,0.773722627737226,0.773722627737226,0.773722627737226,1
"XPORK 5A",0.773316603931409,0.221271676300578,0.315867113038739,0.225569055398704,6
"UIC 10445",0.772261198057205,0.272529155377548,0.522395176717376,0.522395176717376,2
"KU006",0.771356783919598,0.646189735614308,0.708773259766953,0.708773259766953,2
"BQ-16-1",0.771022258862325,0.768458301453711,0.770009382470446,0.770278484782874,4
"SYKE844B",0.77085620197585,0.77085620197585,0.77085620197585,0.77085620197585,1
"1TU31S9",0.76680467608378,0.76680467608378,0.76680467608378,0.76680467608378,1
"SYKE763A",0.76680467608378,0.76680467608378,0.76680467608378,0.76680467608378,1
"1TU33S10",0.766000449135414,0.766000449135414,0.766000449135414,0.766000449135414,1
"ATCC 29204",0.763285024154589,0.763285024154589,0.763285024154589,0.763285024154589,1
"152",0.760379596678529,0.136815068493151,0.514208236320207,0.757685738684885,5
"1TU28S13",0.759385367557186,0.759278650378127,0.759332008967656,0.759332008967656,2
"SYKE844C",0.759385367557186,0.759278650378127,0.759332008967656,0.759332008967656,2
"CAVN2",0.759354365370506,0.712820512820513,0.732611714304541,0.727708948968792,8
"36 and 41",0.758212375859435,0.757552870090634,0.757882622975035,0.757882622975035,2
"B2 83",0.753664495114007,0.753664495114007,0.753664495114007,0.753664495114007,1
"PCC 7005",0.753522229179712,0.194777562862669,0.30073736103871,0.215726502640281,6
"EU-10-1",0.751638530287984,0.751638530287984,0.751638530287984,0.751638530287984,1
"FSN",0.74835886214442,0.304347826086957,0.656115223733301,0.72152244131059,6
"LK-1",0.738675958188153,0.738675958188153,0.738675958188153,0.738675958188153,1
"UIC 10062",0.736009732360097,0.725743348982785,0.730876540671441,0.730876540671441,2
"LTPNA08/09",0.734095120444719,0.248980516538288,0.491537818491503,0.491537818491503,2
"UTEX B1932",0.732980332829047,0.6514319340918,0.701076905629508,0.709947677798592,4
"LT/PHB/002",0.730912863070539,0.730912863070539,0.730912863070539,0.730912863070539,1
"NPCD-01",0.730009633911368,0.730009633911368,0.730009633911368,0.730009633911368,1
"NIES 478",0.718226068144943,0.269826800364631,0.351711327692532,0.279851253496458,6
"NIES-99",0.712569316081331,0.706438541197658,0.709503928639495,0.709503928639495,2
"XPORK 15F",0.680274858528699,0.680274858528699,0.680274858528699,0.680274858528699,1
"XSPORK 27C",0.676446945337621,0.676446945337621,0.676446945337621,0.676446945337621,1
"VP452",0.674387442572741,0.674387442572741,0.674387442572741,0.674387442572741,1
"VP642",0.664591724642988,0.664591724642988,0.664591724642988,0.664591724642988,1
"PNG-05/19/05-13",0.660179640718563,0.641414141414141,0.650796891066352,0.650796891066352,2
"UIC 10520",0.641227380015736,0.63129357087529,0.636260475445513,0.636260475445513,2
"SAG 74.79",0.64070351758794,0.64070351758794,0.64070351758794,0.64070351758794,1
"TAU IL-220",0.625,0.625,0.625,0.625,1
"UHCC 0450 (previously 107.3)",0.621376811594203,0.621376811594203,0.621376811594203,0.621376811594203,1
NA,0.619205298013245,0.141176470588236,0.399499220978928,0.366364665911665,7
"PAC-03/03/2007-1",0.617283950617284,0.617283950617284,0.617283950617284,0.617283950617284,1
"BY-8-1",0.616106080206986,0.364024598565084,0.542518443233825,0.586378737541528,11
"IL-337",0.613868613138686,0.399671052631579,0.524963167013277,0.603299856527977,5
"UH  BY-8-1",0.601362862010221,0.601362862010221,0.601362862010221,0.601362862010221,1
